URL,URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,SERVER,CONTENT_LENGTH,WHOIS_COUNTRY,WHOIS_STATEPRO,WHOIS_REGDATE,WHOIS_UPDATED_DATE,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,Type
http://example.com/0,89,3,ISO-8859-1,nginx,4062,IN,CA,2000-01-31,2023-01-31,305,28,131,6936,59,98,5455,9081,95,4,benign
http://example.com/1,76,4,ISO-8859-1,nginx,9772,DE,CA,2000-02-29,2023-02-28,366,61,222,8312,56,39,1216,9658,86,47,benign
http://example.com/2,29,0,ISO-8859-1,IIS,9192,DE,TX,2000-03-31,2023-03-31,35,52,73,5934,91,73,6444,7975,43,12,benign
http://example.com/3,83,5,ISO-8859-1,nginx,4954,DE,FL,2000-04-30,2023-04-30,462,47,116,2349,10,41,6030,6368,66,31,malicious
http://example.com/4,71,6,UTF-8,Apache,1639,IN,NY,2000-05-31,2023-05-31,620,99,153,3322,25,71,9190,6912,53,66,benign
http://example.com/5,67,7,ISO-8859-1,Apache,1999,IN,NY,2000-06-30,2023-06-30,827,90,125,5091,45,81,1158,5579,87,78,malicious
http://example.com/6,31,1,ISO-8859-1,nginx,3044,IN,PA,2000-07-31,2023-07-31,145,85,111,9474,97,87,7384,8794,99,90,malicious
http://example.com/7,76,6,UTF-8,IIS,5057,JP,TX,2000-08-31,2023-08-31,787,65,216,8218,11,75,787,272,60,90,malicious
http://example.com/8,84,5,UTF-8,IIS,6043,CN,PA,2000-09-30,2023-09-30,900,99,224,2651,9,22,5677,986,37,29,malicious
http://example.com/9,98,8,UTF-8,nginx,3344,US,NY,2000-10-31,2023-10-31,145,47,71,8357,7,82,5690,9709,61,5,malicious
http://example.com/10,57,7,UTF-8,IIS,6436,IN,NY,2000-11-30,2023-11-30,379,93,164,8202,71,49,8252,6363,96,24,benign
http://example.com/11,17,3,UTF-8,IIS,8806,CN,NY,2000-12-31,2023-12-31,167,58,89,8763,34,28,7163,4468,53,27,malicious
http://example.com/12,82,8,UTF-8,IIS,1691,IN,PA,2001-01-31,2024-01-31,768,70,20,2314,83,16,9079,9701,12,61,malicious
http://example.com/13,24,0,UTF-8,nginx,8053,US,TX,2001-02-28,2024-02-29,274,56,81,8634,20,68,8495,7156,35,21,benign
http://example.com/14,41,5,ISO-8859-1,Apache,7955,IN,CA,2001-03-31,2024-03-31,86,75,182,817,89,62,2591,5053,67,67,benign
http://example.com/15,62,7,UTF-8,Apache,7895,CN,CA,2001-04-30,2024-04-30,153,2,228,2560,5,36,4922,360,98,14,malicious
http://example.com/16,76,3,ISO-8859-1,Apache,8375,JP,NY,2001-05-31,2024-05-31,496,80,90,3355,93,22,7104,3452,38,25,malicious
http://example.com/17,13,1,UTF-8,Apache,3842,US,TX,2001-06-30,2024-06-30,796,31,19,5890,55,11,7111,1452,24,62,malicious
http://example.com/18,39,1,UTF-8,Apache,2227,CN,TX,2001-07-31,2024-07-31,314,7,188,5434,91,85,5800,5343,81,17,benign
http://example.com/19,22,9,ISO-8859-1,IIS,1701,DE,FL,2001-08-31,2024-08-31,830,86,165,6930,89,80,4962,9791,40,72,malicious
http://example.com/20,30,0,UTF-8,IIS,1322,DE,FL,2001-09-30,2024-09-30,609,29,112,7854,15,42,5450,3106,65,62,malicious
http://example.com/21,50,4,UTF-8,IIS,5790,DE,PA,2001-10-31,2024-10-31,722,14,131,7040,48,55,9518,922,57,61,benign
http://example.com/22,28,5,UTF-8,nginx,1942,JP,FL,2001-11-30,2024-11-30,957,73,107,3732,4,73,9205,631,72,67,benign
http://example.com/23,57,3,UTF-8,IIS,8158,IN,PA,2001-12-31,2024-12-31,559,54,121,9347,78,35,9711,2920,79,47,benign
http://example.com/24,95,3,UTF-8,Apache,9881,IN,CA,2002-01-31,2025-01-31,829,37,92,114,81,57,455,266,45,49,malicious
http://example.com/25,72,4,UTF-8,IIS,5665,IN,NY,2002-02-28,2025-02-28,273,14,214,8308,21,34,3572,5026,89,62,malicious
http://example.com/26,29,4,UTF-8,Apache,4588,JP,TX,2002-03-31,2025-03-31,705,29,239,2049,80,73,8532,1155,72,68,malicious
http://example.com/27,73,8,ISO-8859-1,IIS,8300,DE,CA,2002-04-30,2025-04-30,763,45,147,8372,90,77,7810,1354,96,5,benign
http://example.com/28,46,7,UTF-8,Apache,7050,IN,CA,2002-05-31,2025-05-31,794,63,181,6899,9,70,8912,4386,13,57,benign
http://example.com/29,40,8,ISO-8859-1,IIS,9006,JP,PA,2002-06-30,2025-06-30,261,25,248,6679,66,4,954,8109,79,50,malicious
http://example.com/30,83,2,ISO-8859-1,Apache,2027,JP,NY,2002-07-31,2025-07-31,486,77,174,3179,79,46,6463,4107,6,11,benign
http://example.com/31,27,2,ISO-8859-1,Apache,8401,CN,PA,2002-08-31,2025-08-31,453,66,80,8227,35,92,6804,7858,97,94,benign
http://example.com/32,29,0,ISO-8859-1,nginx,5029,IN,CA,2002-09-30,2025-09-30,442,35,184,9310,88,11,3724,9823,71,46,benign
http://example.com/33,91,9,ISO-8859-1,IIS,8557,DE,TX,2002-10-31,2025-10-31,261,89,198,9071,51,98,5546,9264,97,8,benign
http://example.com/34,20,5,ISO-8859-1,Apache,5592,US,FL,2002-11-30,2025-11-30,542,77,229,1924,78,61,9352,7989,47,6,malicious
http://example.com/35,95,3,ISO-8859-1,IIS,3323,JP,PA,2002-12-31,2025-12-31,104,30,31,6429,37,35,8673,4844,93,28,malicious
http://example.com/36,53,7,UTF-8,Apache,6227,CN,CA,2003-01-31,2026-01-31,999,77,53,3964,6,69,6131,8397,44,77,benign
http://example.com/37,91,1,UTF-8,nginx,5171,US,FL,2003-02-28,2026-02-28,349,39,113,2613,82,57,6282,9896,32,50,benign
http://example.com/38,73,1,UTF-8,nginx,1054,JP,FL,2003-03-31,2026-03-31,823,73,240,6810,86,11,1232,4387,3,83,benign
http://example.com/39,43,6,ISO-8859-1,nginx,7150,CN,CA,2003-04-30,2026-04-30,437,72,34,8616,82,12,2576,1102,54,54,benign
http://example.com/40,96,4,UTF-8,nginx,9641,IN,NY,2003-05-31,2026-05-31,980,45,31,3590,51,43,3235,184,84,95,benign
http://example.com/41,74,0,ISO-8859-1,Apache,1674,CN,CA,2003-06-30,2026-06-30,168,41,188,8968,66,19,2179,3095,78,58,malicious
http://example.com/42,64,6,ISO-8859-1,IIS,6768,JP,TX,2003-07-31,2026-07-31,747,17,139,6225,96,77,1044,5256,92,55,benign
http://example.com/43,83,6,UTF-8,nginx,7195,IN,FL,2003-08-31,2026-08-31,785,99,228,8179,17,68,5940,7294,38,21,malicious
http://example.com/44,10,9,ISO-8859-1,nginx,7820,DE,TX,2003-09-30,2026-09-30,342,35,6,4988,65,78,4062,5883,4,99,malicious
http://example.com/45,47,5,ISO-8859-1,nginx,3355,CN,PA,2003-10-31,2026-10-31,229,75,27,2804,9,59,6774,5795,79,17,benign
http://example.com/46,18,3,UTF-8,IIS,1158,US,FL,2003-11-30,2026-11-30,22,49,7,9486,13,2,934,253,17,57,malicious
http://example.com/47,80,7,ISO-8859-1,Apache,2057,IN,NY,2003-12-31,2026-12-31,987,60,49,6360,58,8,3850,9753,37,39,benign
http://example.com/48,26,1,UTF-8,Apache,6748,IN,CA,2004-01-31,2027-01-31,675,39,96,9196,30,22,4284,6514,88,88,benign
http://example.com/49,61,1,ISO-8859-1,Apache,5044,DE,PA,2004-02-29,2027-02-28,280,2,200,4697,31,77,7278,6784,36,30,benign
http://example.com/50,27,1,ISO-8859-1,Apache,5158,CN,TX,2004-03-31,2027-03-31,518,81,60,3004,23,21,5268,2119,58,55,malicious
http://example.com/51,72,2,UTF-8,IIS,2619,US,PA,2004-04-30,2027-04-30,721,6,33,1223,63,85,5091,9389,41,34,malicious
http://example.com/52,42,5,UTF-8,IIS,8013,DE,NY,2004-05-31,2027-05-31,252,30,249,7035,28,92,8246,670,8,25,malicious
http://example.com/53,13,0,UTF-8,IIS,2670,CN,CA,2004-06-30,2027-06-30,403,64,47,4416,59,97,5390,8022,67,67,benign
http://example.com/54,96,1,ISO-8859-1,nginx,7550,US,PA,2004-07-31,2027-07-31,132,94,244,2370,10,29,4338,8440,30,83,malicious
http://example.com/55,84,9,ISO-8859-1,IIS,3987,US,TX,2004-08-31,2027-08-31,273,63,172,2824,89,86,8498,6253,86,33,malicious
http://example.com/56,61,1,UTF-8,Apache,7803,JP,PA,2004-09-30,2027-09-30,617,76,207,8221,90,90,8265,2791,52,75,malicious
http://example.com/57,18,0,UTF-8,IIS,6517,US,CA,2004-10-31,2027-10-31,231,92,119,7771,26,75,3634,7769,97,15,benign
http://example.com/58,73,2,UTF-8,nginx,9179,CN,PA,2004-11-30,2027-11-30,544,2,27,2358,77,75,2152,5607,25,41,malicious
http://example.com/59,39,9,ISO-8859-1,Apache,844,DE,TX,2004-12-31,2027-12-31,78,92,222,3962,17,98,8251,4969,52,4,benign
http://example.com/60,17,6,ISO-8859-1,IIS,6520,DE,CA,2005-01-31,2028-01-31,34,34,22,9222,40,83,128,5949,59,60,malicious
http://example.com/61,14,0,UTF-8,Apache,3614,JP,NY,2005-02-28,2028-02-29,494,14,47,3746,68,37,9505,6067,30,43,malicious
http://example.com/62,85,6,UTF-8,Apache,3030,CN,NY,2005-03-31,2028-03-31,109,20,93,7125,23,78,8479,3755,67,34,malicious
http://example.com/63,72,4,UTF-8,IIS,5637,US,FL,2005-04-30,2028-04-30,320,61,233,1371,35,29,1960,6771,4,90,benign
http://example.com/64,10,8,ISO-8859-1,IIS,6813,JP,PA,2005-05-31,2028-05-31,574,82,176,9089,75,83,8034,5769,93,0,benign
http://example.com/65,24,1,UTF-8,nginx,275,IN,TX,2005-06-30,2028-06-30,980,27,158,3563,76,37,2672,2592,57,97,malicious
http://example.com/66,98,0,UTF-8,IIS,665,CN,PA,2005-07-31,2028-07-31,327,3,2,8708,9,21,8151,9636,63,42,malicious
http://example.com/67,91,8,UTF-8,IIS,3317,JP,CA,2005-08-31,2028-08-31,966,12,143,5041,79,88,6228,9398,32,31,benign
http://example.com/68,47,7,ISO-8859-1,IIS,4457,DE,FL,2005-09-30,2028-09-30,808,78,47,997,45,90,4114,6612,87,62,benign
http://example.com/69,51,9,ISO-8859-1,Apache,6073,JP,TX,2005-10-31,2028-10-31,689,50,27,8344,37,12,4352,8874,83,32,malicious
http://example.com/70,55,5,UTF-8,nginx,9686,IN,PA,2005-11-30,2028-11-30,383,47,199,705,69,48,2227,4450,79,94,malicious
http://example.com/71,62,4,ISO-8859-1,Apache,5902,CN,TX,2005-12-31,2028-12-31,363,38,27,3777,19,83,2807,6699,51,76,benign
http://example.com/72,35,7,UTF-8,IIS,7134,JP,CA,2006-01-31,2029-01-31,231,95,213,4647,75,47,1913,4756,63,65,malicious
http://example.com/73,70,7,UTF-8,nginx,9512,US,FL,2006-02-28,2029-02-28,615,66,141,8752,73,94,7916,8611,80,29,benign
http://example.com/74,76,4,UTF-8,IIS,1047,CN,TX,2006-03-31,2029-03-31,413,93,183,874,99,15,8451,4415,87,9,malicious
http://example.com/75,63,6,UTF-8,Apache,8876,JP,CA,2006-04-30,2029-04-30,293,57,145,5356,27,67,8635,4894,1,22,malicious
http://example.com/76,31,0,ISO-8859-1,Apache,9912,JP,NY,2006-05-31,2029-05-31,546,83,75,5591,13,13,8496,1537,19,96,malicious
http://example.com/77,35,3,UTF-8,IIS,3455,CN,TX,2006-06-30,2029-06-30,705,1,187,4130,57,59,8596,131,35,38,malicious
http://example.com/78,92,1,UTF-8,nginx,5351,DE,FL,2006-07-31,2029-07-31,173,24,10,5256,60,73,8691,814,63,44,benign
http://example.com/79,69,9,ISO-8859-1,Apache,3291,US,TX,2006-08-31,2029-08-31,391,10,121,5873,12,13,6349,8055,94,28,malicious
http://example.com/80,48,2,UTF-8,IIS,5947,CN,TX,2006-09-30,2029-09-30,101,0,33,7275,9,80,6585,9331,81,29,malicious
http://example.com/81,45,0,ISO-8859-1,IIS,6816,US,CA,2006-10-31,2029-10-31,835,47,206,3618,92,78,9277,508,26,33,malicious
http://example.com/82,30,1,UTF-8,IIS,631,US,PA,2006-11-30,2029-11-30,292,47,165,6875,77,72,1905,7446,13,51,malicious
http://example.com/83,50,0,UTF-8,nginx,1331,CN,PA,2006-12-31,2029-12-31,84,9,126,7706,84,19,5147,8138,86,80,malicious
http://example.com/84,57,7,UTF-8,IIS,1797,JP,TX,2007-01-31,2030-01-31,908,80,8,5478,77,57,5640,7840,23,21,malicious
http://example.com/85,35,3,UTF-8,IIS,3470,DE,FL,2007-02-28,2030-02-28,200,29,161,6773,27,32,2196,7764,97,4,benign
http://example.com/86,72,2,ISO-8859-1,Apache,1645,US,FL,2007-03-31,2030-03-31,684,34,135,6544,90,99,5437,5131,91,10,malicious
http://example.com/87,86,0,UTF-8,IIS,1537,US,CA,2007-04-30,2030-04-30,540,18,162,8776,63,87,1559,1227,35,85,benign
http://example.com/88,45,1,ISO-8859-1,nginx,8662,JP,TX,2007-05-31,2030-05-31,296,52,71,9479,93,21,7034,5536,12,31,benign
http://example.com/89,33,2,ISO-8859-1,IIS,4604,CN,TX,2007-06-30,2030-06-30,55,33,135,3827,29,82,9637,8998,9,23,benign
http://example.com/90,99,2,ISO-8859-1,nginx,5602,DE,PA,2007-07-31,2030-07-31,471,31,41,4096,22,14,8522,882,98,10,benign
http://example.com/91,30,5,UTF-8,IIS,7708,US,CA,2007-08-31,2030-08-31,15,75,118,6481,73,80,3882,5400,78,10,malicious
http://example.com/92,27,9,ISO-8859-1,IIS,6097,US,NY,2007-09-30,2030-09-30,651,80,228,6912,88,24,3600,2279,67,16,malicious
http://example.com/93,24,7,ISO-8859-1,IIS,5666,CN,FL,2007-10-31,2030-10-31,65,5,55,2089,19,49,9174,6906,44,31,malicious
http://example.com/94,88,5,ISO-8859-1,nginx,7886,JP,FL,2007-11-30,2030-11-30,957,12,7,4445,38,32,5705,1278,61,82,benign
http://example.com/95,15,1,UTF-8,Apache,8908,IN,TX,2007-12-31,2030-12-31,658,85,84,8274,95,75,6519,2506,21,26,malicious
http://example.com/96,52,1,UTF-8,nginx,4266,JP,CA,2008-01-31,2031-01-31,669,74,146,2814,39,11,8724,2907,7,31,benign
http://example.com/97,40,6,ISO-8859-1,Apache,4114,US,NY,2008-02-29,2031-02-28,911,63,237,7146,15,60,9500,2864,97,60,benign
http://example.com/98,37,0,ISO-8859-1,nginx,2356,US,FL,2008-03-31,2031-03-31,471,6,171,4286,54,68,7989,2824,99,24,malicious
http://example.com/99,17,0,UTF-8,IIS,4454,DE,CA,2008-04-30,2031-04-30,908,44,233,438,32,61,5338,2635,11,63,benign
http://example.com/100,38,6,ISO-8859-1,IIS,3410,JP,NY,2008-05-31,2031-05-31,580,44,78,9953,46,90,1917,8504,45,63,benign
http://example.com/101,30,8,ISO-8859-1,Apache,7499,IN,TX,2008-06-30,2031-06-30,22,84,168,6068,61,5,7670,4961,32,27,benign
http://example.com/102,90,4,ISO-8859-1,Apache,1031,DE,PA,2008-07-31,2031-07-31,701,64,53,7784,93,36,5203,6400,86,39,benign
http://example.com/103,97,0,UTF-8,nginx,2429,IN,FL,2008-08-31,2031-08-31,759,93,14,6821,52,97,717,7956,83,90,malicious
http://example.com/104,67,4,ISO-8859-1,nginx,493,DE,FL,2008-09-30,2031-09-30,485,18,149,8461,34,64,8609,3246,36,13,benign
http://example.com/105,69,0,ISO-8859-1,Apache,2565,JP,NY,2008-10-31,2031-10-31,414,46,113,6605,73,78,6385,6678,37,41,benign
http://example.com/106,59,9,UTF-8,Apache,3377,US,PA,2008-11-30,2031-11-30,820,45,251,6487,35,32,556,1301,75,38,benign
http://example.com/107,40,8,ISO-8859-1,nginx,5530,IN,CA,2008-12-31,2031-12-31,887,28,57,8110,70,71,600,2989,41,1,malicious
