duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
14,udp,http,RSTR,92192,43848,1,2,1,1,0,1,1,0,1,4,3,2,1,0,1,0,88,16,0.6967282944355699,0.9241144834023005,0.3864872210513953,0.825297411019376,0.8987734308517418,0.6171241572546758,0.149351920147768,64,29,0.5622522233596923,0.443796508112435,0.17225754290268236,0.8247113634886656,0.6772694273755229,0.09229884170892166,0.7957560186235015,0.4790078626524297,normal
70,icmp,http,SF,16941,19163,0,0,0,2,4,1,0,0,1,0,0,1,1,0,1,0,99,27,0.36193087569273585,0.20260058119439506,0.9105933325255839,0.5537052766757511,0.949582848945752,0.9398969820112626,0.13553450903434294,51,3,0.9376936343881803,0.15716294141242748,0.3115486317608338,0.20150046409298472,0.10129591380279124,0.09336835227051321,0.8490747731126775,0.8164378486552563,normal
87,udp,telnet,REJ,78554,71591,1,0,2,2,4,0,2,0,2,1,2,0,2,2,0,0,31,88,0.07832531910243934,0.4133442309326554,0.18570064618537718,0.0851526143589153,0.10616387758270807,0.8406754915622701,0.12209505553411792,69,99,0.9124433609397369,0.5815174305045195,0.07807489047520799,0.44900405960750867,0.18904265192599778,0.2606105838549113,0.818705399919617,0.03219797594530538,anomaly
15,icmp,smtp,REJ,13088,68205,1,1,1,2,1,0,4,1,1,0,0,2,0,2,0,0,46,51,0.9350316576328564,0.7323088573740542,0.8139367052130362,0.36437910999979395,0.48803638285419193,0.9432418637389651,0.3593106090541236,92,66,0.05233399595224564,0.041505839875918826,0.8807931599568446,0.10350846480260822,0.03331497226909175,0.11575835411588198,0.8966263353065039,0.18308899156595182,normal
87,udp,http,SF,86211,77564,1,0,0,2,0,1,1,0,1,1,2,1,2,2,0,0,20,35,0.5898583191430653,0.7052033520018945,0.545855434376638,0.0864257005965906,0.16524656699837525,0.9661076231567661,0.4894126641919797,29,9,0.19258804673939278,0.42738255462955455,0.31043740155316313,0.06967056681322426,0.90220172541331,0.25278431364742937,0.14235737756159494,0.9565826751228611,anomaly
42,icmp,ssh,SF,16124,66544,1,2,1,0,2,0,2,1,1,4,1,2,2,0,0,1,41,46,0.7535180075887757,0.9655925944739431,0.32958006829874054,0.31128136186650446,0.6003555507831663,0.440808535979622,0.46160935501561684,76,26,0.6760465849045786,0.5903138263753435,0.23046644740299005,0.706054240871172,0.5738961895354213,0.02454398358386034,0.9404585323915335,0.44509837342925396,normal
6,udp,smtp,S0,82367,51516,1,2,2,1,3,1,4,1,2,0,4,0,1,1,0,0,69,65,0.24038543557127967,0.19090129667967437,0.08436093491760777,0.25879210066532454,0.2327391126618641,0.48791068127801074,0.25704873139979456,93,81,0.9218394265060845,0.9571200302613087,0.7306041784399004,0.9129318047740105,0.523427435808723,0.35073941075227166,0.01080293249616282,0.30332424447545214,normal
42,udp,ftp,RSTR,3819,15523,1,1,1,1,1,0,3,1,2,0,0,0,0,1,0,0,88,31,0.7615409226294236,0.016519611599961848,0.17131112640775092,0.3885552966367184,0.7706309833689707,0.281621968289101,0.6219796254634997,75,44,0.43033000253514264,0.3264647637847401,0.19944015561049278,0.9735755166752519,0.7062406406165065,0.21341019954336649,0.2559040017507661,0.9232795412941368,anomaly
27,icmp,ssh,S0,95822,45307,0,0,2,1,4,0,1,0,1,4,3,1,1,1,1,0,1,31,0.8284754400232166,0.32232326098720276,0.8628626053556876,0.8372765899899189,0.6440026006496677,0.5084324025948369,0.33827363070054406,73,74,0.038305245360408025,0.7650510965364443,0.24027536049838305,0.27046635422886645,0.9883502236854673,0.8921463498778597,0.08403874621081775,0.9112139109381736,normal
65,udp,smtp,REJ,11164,2199,0,2,2,1,2,0,1,0,2,0,0,0,0,2,1,1,30,69,0.43082939721447633,0.14969261248271604,0.6068860751917153,0.15037667131038013,0.5716045942872687,0.1507146981992119,0.3660829880795199,54,99,0.6432972599800373,0.1326998139051293,0.10361625366071459,0.20177134185932555,0.17223728843719377,0.8581575947955506,0.9455331351715159,0.04424245709782282,anomaly
