r1,r2,r3,r4,x,y,security_type,timestamp
-62.545988115263754,-81.48670711613804,-73.8294316264094,-32.7297005791102,57.19958782835928,39.363552027744205,WEP,2024-01-01 00:00:00
-4.928569359008378,-45.809905262164186,-75.30212009280001,-20.33186028086277,80.54323292999864,47.34356593750214,WPA2,2024-01-01 00:01:00
-26.800605818859495,-12.70541641235917,-9.374541947896333,-74.9532101207501,76.01609297901591,85.45473932021804,WEP,2024-01-01 00:02:00
-40.13415158029634,-26.777511359043885,-75.04538001504939,-37.51259003930011,15.389990469377368,34.00043860598922,WEP,2024-01-01 00:03:00
-84.39813595575635,-19.34388521385503,-72.8050273871369,-42.82540168562513,14.92494697414739,86.96496848121713,WPA2,2024-01-01 00:04:00
-84.40054796637973,-34.121663328928264,-24.060173758203632,-16.716962321172886,26.817436774491334,8.813443097669149,None,2024-01-01 00:05:00
-94.19163878318005,-30.77234354821475,-55.026015754946,-9.391293951873948,36.10747263410372,77.67984372086308,WPA2,2024-01-01 00:06:00
-13.382385422506488,-15.080434843468069,-22.32894430448188,-98.78432285226133,40.84555814084826,84.75476330547363,WPA2,2024-01-01 00:07:00
-39.88849882567912,-75.03319911408141,-93.46338424356148,-32.59800809412073,67.96972168333453,18.181765283733874,WEP,2024-01-01 00:08:00
-29.192742220395445,-51.057503635685954,-51.24288063266157,-94.8164200880271,5.66804321658354,43.03465323722004,WPA2,2024-01-01 00:09:00
-97.94155057041975,-77.87905581803977,-96.63863998167173,-45.11413349226441,3.4672704226066386,16.54997746636556,WEP,2024-01-01 00:10:00
-3.0090147838005663,-1.2331992003353065,-93.73467965446454,-71.23672709563218,39.191056294390904,70.66041289942177,WEP,2024-01-01 00:11:00
-16.75573591995783,-5.59406603133867,-9.356254665558907,-69.32234004778587,69.71636921379805,53.534776806165674,None,2024-01-01 00:12:00
-78.76608893217238,-96.0573188631494,-86.07546288824048,-64.70414965476434,19.343534295648258,63.5323346708321,WPA2,2024-01-01 00:13:00
-81.81750327928994,-29.44248274843116,-46.75793177247829,-37.87075509503899,64.15044812562518,19.648696695621116,WPA2,2024-01-01 00:14:00
-81.65954901465662,-7.475168258433413,-58.89043973992935,-66.59500343312308,25.982813794029948,21.17458620524195,WEP,2024-01-01 00:15:00
-69.57577570404624,-81.94246548726665,-65.26566737411574,-26.730094940971966,88.60861088135164,4.149732550990636,WPA2,2024-01-01 00:16:00
-47.524356836776214,-43.20547694473705,-10.016665431272756,-59.54726144261303,89.56899442666165,32.20675351957297,WPA2,2024-01-01 00:17:00
-56.805498135788426,-8.451170241195811,-97.81766032245105,-93.16467996900414,29.72872042813265,55.97446613336749,WPA2,2024-01-01 00:18:00
-70.8770859801958,-96.60540214142011,-33.62103138244109,-21.62401575158927,22.99937539632405,85.79349139973289,WPA2,2024-01-01 00:19:00
-38.81471052776205,-30.257973275316004,-3.6605565786449574,-71.4241675407294,41.13039720662313,66.69274474586807,WPA2,2024-01-01 00:20:00
-86.05061393479582,-70.26509926274493,-43.983181653815805,-56.723312040073736,24.05315851801487,43.53963233997514,WEP,2024-01-01 00:21:00
-70.78553514647818,-7.560380462346956,-6.317753796690823,-31.45561167780984,67.23838432917036,95.31201143941378,WEP,2024-01-01 00:22:00
-63.36381567063083,-2.894175483463229,-94.77421207139763,-66.7543842851288,82.60646845482856,71.92452005758318,WPA2,2024-01-01 00:23:00
-54.393001578296406,-5.573351088656608,-58.12066809258386,-94.34143438532844,67.3092130911217,93.016520286255,WPA2,2024-01-01 00:24:00
-21.48240386069864,-52.57857833425362,-73.98422090379489,-62.60789529871864,82.43504472493495,52.75879732721657,WPA2,2024-01-01 00:25:00
-80.03262178416402,-13.795734901068656,-26.917903501927015,-5.555141730569659,39.69921622074742,25.89042747931396,WEP,2024-01-01 00:26:00
-48.57655615863884,-15.545060146492958,-1.8702909502753329,-35.826560270144185,15.631697070886085,5.282668636472199,WPA2,2024-01-01 00:27:00
-40.75854311379575,-68.08995267567444,-74.34699375557523,-32.8520851332793,73.79509473975922,72.60848514838504,WEP,2024-01-01 00:28:00
-95.35495872800023,-17.108452584932266,-34.58253985259255,-36.77178463623601,36.047450514155386,12.130299800553413,WPA2,2024-01-01 00:29:00
-39.24551480985616,-96.29923652845073,-80.190236724026,-80.10078610405633,67.12708252291326,30.277512827196716,WEP,2024-01-01 00:30:00
-82.94758763127085,-40.3730121517947,-43.46697454283901,-58.166613589771984,27.064394198176565,53.24709078838974,WPA2,2024-01-01 00:31:00
-93.49484070147204,-76.9991162712297,-53.60675133116638,-24.906020163668174,8.122963480667266,56.441658777974766,WEP,2024-01-01 00:32:00
-5.111446274666676,-87.94331142227212,-2.799467036846295,-89.86271024468408,99.25817954877634,60.0583196987136,WPA2,2024-01-01 00:33:00
-3.436796692544064,-92.30467983707908,-39.14727273035334,-72.21472239102877,15.620150793059928,16.625533034970065,WEP,2024-01-01 00:34:00
-19.16026518835389,-30.371122412186025,-65.04936279131812,-72.36808915341464,98.8420993963481,37.97374048216488,WPA2,2024-01-01 00:35:00
-69.53862308266292,-66.0125036231934,-88.59042151120667,-56.7981072405494,97.72799325664472,61.71942271169667,WEP,2024-01-01 00:36:00
-90.23278859936161,-27.52332284712385,-84.87531712650654,-1.9631259057814958,79.38181039080396,96.98188646337847,WEP,2024-01-01 00:37:00
-31.576697348784307,-93.46436592010576,-77.4683070048765,-93.2497453316178,65.94229620819976,72.76311376996887,WPA2,2024-01-01 00:38:00
-55.98475062603987,-68.47096621693896,-74.9033338659702,-48.129900561940495,57.78070502510847,92.26037570939579,WEP,2024-01-01 00:39:00
-87.79617651552212,-46.050870762466275,-14.93839421588622,-82.06353179877895,86.61015453778347,76.2212058314177,WPA2,2024-01-01 00:40:00
-50.48230898887298,-20.92768351610364,-43.87772117174751,-2.9323454590255835,28.943952161948793,59.171696889240046,WPA2,2024-01-01 00:41:00
-96.56114788847816,-68.12474970679301,-47.66090886256335,-88.66964952725358,46.7681212484877,19.202336913634454,WPA2,2024-01-01 00:42:00
-9.067959792121798,-37.41086235629909,-88.52311281307826,-59.63989976384087,61.93899693665019,66.66856518925131,WPA2,2024-01-01 00:43:00
-74.1220018399983,-11.402225176381293,-13.986030665056504,-26.211501516539386,41.11904758694911,62.337956595990704,WEP,2024-01-01 00:44:00
-33.747771564601805,-38.41368118176954,-27.718569679151628,-29.54455719725547,42.7486454090268,60.24691704572665,WEP,2024-01-01 00:45:00
-68.8288923910589,-76.70405252463662,-93.23316380999984,-57.727136310606774,33.02846675020844,48.978586798824075,WPA2,2024-01-01 00:46:00
-47.99319788221892,-97.55992184434619,-29.216490277023127,-65.34758320472818,56.4231816684536,52.86566039892756,WPA2,2024-01-01 00:47:00
-45.32897206567203,-12.990112609907015,-45.646178265735394,-60.23876214471294,85.0574528015116,33.44425271181041,WEP,2024-01-01 00:48:00
-81.5145544474473,-97.87305891496129,-91.82746542532217,-73.57237368413607,20.152837800631286,51.931269264230316,None,2024-01-01 00:49:00
-3.0415372235441396,-12.529832731580058,-54.169935847134354,-79.46670612932002,93.44330387534414,19.755590567847825,WPA2,2024-01-01 00:50:00
-22.48671766388854,-47.1062865972788,-51.530371286995305,-51.696030244111,68.90876537482296,80.51743973603767,None,2024-01-01 00:51:00
-6.050105843581093,-6.093230148710376,-83.42254598367242,-73.14662439323926,82.32732126800302,18.577695469870783,WPA2,2024-01-01 00:52:00
-10.517264957235113,-20.121676422633456,-5.430185299971768,-71.25383351027499,55.619069263001165,8.496628988946641,WPA2,2024-01-01 00:53:00
-40.21000211889149,-0.20658894666625827,-15.002462851933814,-34.32439365254429,77.95167014240634,43.62460263571574,WEP,2024-01-01 00:54:00
-7.812576497688312,-64.92881845482898,-33.09776626708917,-3.1462668300107737,1.620039733946721,65.83074395060619,WPA2,2024-01-01 00:55:00
-91.15074979480805,-23.281171106887314,-53.77044389993928,-39.636279944062494,81.83804247795352,43.771682493354135,WPA2,2024-01-01 00:56:00
-80.40171375808548,-59.806908639075786,-58.82344584154915,-92.30205329350338,4.013885908536652,27.67541319513086,WPA2,2024-01-01 00:57:00
-95.4772711089462,-52.01243796960912,-34.90265328490459,-92.4416386145933,88.99133763628625,55.817118389044076,WEP,2024-01-01 00:58:00
-67.46696692367357,-37.24945367816299,-45.456813059309454,-4.8576779154434035,99.19627472386433,34.700233541219994,WEP,2024-01-01 00:59:00
-61.1322710310518,-12.632288581366126,-93.77268941181144,-70.27092096926664,29.40674621767778,93.28676901266331,WPA2,2024-01-01 01:00:00
-72.86509682261041,-1.5916530800704862,-48.74973512296683,-90.79330139175246,21.031855628579365,92.2645139603572,WPA2,2024-01-01 01:01:00
-17.12624908480707,-23.17265861354818,-19.359638276716055,-40.09554128496185,76.53633638580408,50.23718199720955,WPA2,2024-01-01 01:02:00
-64.32466733064106,-58.22332178326663,-54.076012240304195,-37.63512217097339,25.302634092025322,32.78839940182585,WPA2,2024-01-01 01:03:00
-71.90654903126193,-57.86429977229298,-94.80434224457316,-35.14951798813118,86.55623831722035,73.71324139566391,WPA2,2024-01-01 01:04:00
-45.73039168417515,-26.24176984111085,-21.372180061596694,-73.25979721424588,10.28425921574767,3.671294348306664,WEP,2024-01-01 01:05:00
-85.90757750252374,-76.12228542316977,-79.86362178640256,-98.4889315785525,12.595519637935826,47.47690060436513,WPA2,2024-01-01 01:06:00
-19.78030192459603,-88.95258868686054,-74.13791651119612,-3.498463054552815,97.91515551006155,33.63233942703335,WPA2,2024-01-01 01:07:00
