관리번호,자치구,AP별 이용량(GB),anomaly,latitude,longitude
WN000690,도봉구,945.508068,1,37.6686,127.0466
YC180006,양천구,945.182225,1,37.5171,126.8663
WF201627,영등포구,945.0013723,1,37.5262,126.8959
WF200011,중구,944.8712818,1,37.5636559,126.9975097
YC170106,양천구,944.3755671,1,37.5171,126.8663
GA070017,관악구,944.3226639,1,37.4782,126.9518
WF160019,마포구,943.2496015,1,37.566571,126.9015317
NW160054,노원구,943.2489941,1,37.654,127.0567
YDP000020,영등포구,941.8999997,1,37.5262,126.8959
WF110050,중구,940.7450882,1,37.5636559,126.9975097
WF181055,중랑구,940.7444665,1,37.6063,127.093
NW160058,노원구,940.67823,1,37.654,127.0567
SB020046,성북구,940.0494264,1,37.59,127.0165
SC000057,서초구,939.3810287,1,37.4835,127.0322
WF171803,금천구,939.3342503,1,37.4565,126.8954
YC010002,양천구,939.2944648,1,37.5171,126.8663
JG000043,중구,938.1200768,1,37.5636559,126.9975097
YS000031,용산구,936.0866021,1,37.5323,126.99
EP070010,은평구,936.0290514,1,37.6024,126.9293
GA070045,관악구,935.1000683,1,37.4782,126.9518
YC170098,양천구,934.9346449,1,37.5171,126.8663
YC150004,양천구,934.1094407,1,37.5171,126.8663
WF160020,마포구,933.5417966,1,37.566571,126.9015317
WF181322,서초구,931.0426534,1,37.4835,127.0322
WF171314,성북구,930.3947225,1,37.59,127.0165
GS150011,강서구,929.0683919,1,37.5509,126.8497
WF170008,중구,927.2748344,1,37.5636559,126.9975097
NW160019,노원구,926.2743509,1,37.654,127.0567
GB110026,강북구,925.5383568,1,37.6395,127.0255
WN000660,도봉구,925.3246343,1,37.6686,127.0466
WF110021,마포구,924.9270417,1,37.566571,126.9015317
SD000011,성동구,923.3884196,1,37.5635,127.0365
WF120403,중구,921.233429,1,37.5636559,126.9975097
EP000023,은평구,919.2731539,1,37.6024,126.9293
SDM040005,서대문구,916.3463212,1,37.5790747,126.9367861
GS100014,강서구,916.0724749,1,37.5509,126.8497
JG000002,중구,915.3922459,1,37.5636559,126.9975097
YS000011,용산구,914.4654147,1,37.5323,126.99
GA110002,관악구,913.8678742,1,37.4782,126.9518
DDM000011,동대문구,912.9528962,1,37.5741982,127.0395092
GJ100017,광진구,912.2126338,1,37.5384,127.0828
WF190854,양천구,912.0700601,1,37.5171,126.8663
GA070033,관악구,909.7531464,1,37.4782,126.9518
EP000139,은평구,908.7011822,1,37.6024,126.9293
GB110002,강북구,908.1361484,1,37.6395,127.0255
WF141978,동작구,907.1539492,1,37.5120999,126.9395
YS060001,용산구,906.998778,1,37.5323,126.99
YC170024,양천구,906.2881223,1,37.5171,126.8663
WF200138,서초구,904.5495781,1,37.4835,127.0322
WF110117,중구,902.276228,1,37.5636559,126.9975097
NW160015,노원구,902.1072807,1,37.654,127.0567
WF190373,금천구,901.9309169,1,37.4565,126.8954
WF181094,도봉구,901.7415877,1,37.6686,127.0466
YC160001,양천구,901.4529504,1,37.5171,126.8663
SIGMUL025,강서구,900.3475472,1,37.5509,126.8497
GJ060001,광진구,900.0358536,1,37.5384,127.0828
WF142032,마포구,899.971842,1,37.566571,126.9015317
GA070031,관악구,898.8181612,1,37.4782,126.9518
SD000163,성동구,897.72896,1,37.5635,127.0365
GD130125,강동구,897.3251355,1,37.53,127.1237
WF170045,중구,897.0902177,1,37.5636559,126.9975097
WF160071,마포구,896.2296813,1,37.566571,126.9015317
YC170051,양천구,895.9982122,1,37.5171,126.8663
WF181327,서초구,895.5105907,1,37.4835,127.0322
DDM000042,동대문구,895.1405966,1,37.5741982,127.0395092
WF120410,중구,895.1310243,1,37.5636559,126.9975097
YC170042,양천구,894.4838513,1,37.5171,126.8663
YC120036,양천구,893.7628526,1,37.5171,126.8663
EP000048,은평구,893.5190487,1,37.6024,126.9293
YDP000008,영등포구,892.633639,1,37.5262,126.8959
WF191116,중구,891.3869189,1,37.5636559,126.9975097
NW160016,노원구,891.0705979,1,37.654,127.0567
SC000051,서초구,890.9319094,1,37.4835,127.0322
WN003820,성동구,889.8900866,1,37.5635,127.0365
NW130003,노원구,889.8778091,1,37.654,127.0567
WF205106,중구,888.8422478,1,37.5636559,126.9975097
WN000680,도봉구,888.6145827,1,37.6686,127.0466
WF140030,동대문구,887.0213352,1,37.5741982,127.0395092
GN060036,강남구,883.3523339,1,37.5177,127.0473
WF201626,영등포구,883.1537535,1,37.5262,126.8959
WF132227,용산구,883.0153766,1,37.5323,126.99
WF141263,강북구,882.8128887,1,37.6395,127.0255
WN003858,성동구,882.1969238,1,37.5635,127.0365
YC040006,양천구,881.7964153,1,37.5171,126.8663
GD130047,강동구,881.2328895,1,37.53,127.1237
SC000049,서초구,880.2799421,1,37.4835,127.0322
EP000026,은평구,880.1255264,1,37.6024,126.9293
JG170005,중구,877.6342508,1,37.5636559,126.9975097
WN003851,성동구,877.5751833,1,37.5635,127.0365
SP260059,송파구,877.4489985,1,37.5145,127.1058
WF190144,강서구,877.0245307,1,37.5509,126.8497
WF190393,노원구,876.848544,1,37.654,127.0567
DDM000020,동대문구,876.8472091,1,37.5741982,127.0395092
YC170071,양천구,874.3761395,1,37.5171,126.8663
WF161663,금천구,874.1991784,1,37.4565,126.8954
SC000029,서초구,874.1045312,1,37.4835,127.0322
WF120292,중구,873.8907546,1,37.5636559,126.9975097
SC000071,서초구,873.1435016,1,37.4835,127.0322
YDP000049,영등포구,871.3495735,1,37.5262,126.8959
SIGMUL150,강서구,870.4832196,1,37.5509,126.8497
NW030002,노원구,866.348919,1,37.654,127.0567
GN070006,강남구,866.2995802,1,37.5177,127.0473
SC000037,서초구,865.1344431,1,37.4835,127.0322
SC000068,서초구,864.9797218,1,37.4835,127.0322
WF171302,성북구,864.6860726,1,37.59,127.0165
YC170089,양천구,864.5760839,1,37.5171,126.8663
WF110074,중구,863.6964593,1,37.5636559,126.9975097
GB110005,강북구,863.0085673,1,37.6395,127.0255
EP020020,은평구,862.7553501,1,37.6024,126.9293
WF121165,강서구,862.5448947,1,37.5509,126.8497
YS000021,용산구,860.324833,1,37.5323,126.99
YDP050002,영등포구,860.2240098,1,37.5262,126.8959
NW160001,노원구,860.1232172,1,37.654,127.0567
