ID,District,Value,Status,Latitude,Longitude
WF201627,영등포구,945.0013723,참,37.5262,126.8959
WF200011,중구,944.8712818,참,37.5636559,126.9975097
YC170106,양천구,944.3755671,참,37.5171,126.8663
GA070017,관악구,944.3226639,참,37.4782,126.9518
WF160019,마포구,943.2496015,참,37.566571,126.9015317
NW160054,노원구,943.2489941,참,37.654,127.0567
YDP000020,영등포구,941.8999997,참,37.5262,126.8959
WF110050,중구,940.7450882,참,37.5636559,126.9975097
WF181055,중랑구,940.7444665,참,37.6063,127.093
NW160058,노원구,940.67823,참,37.654,127.0567
SB020046,성북구,940.0494264,참,37.59,127.0165
SC000057,서초구,939.3810287,참,37.4835,127.0322
WF171803,금천구,939.3342503,참,37.4565,126.8954
YC010002,양천구,939.2944648,참,37.5171,126.8663
JG000043,중구,938.1200768,참,37.5636559,126.9975097
YS000031,용산구,936.0866021,참,37.5323,126.99
EP070010,은평구,936.0290514,참,37.6024,126.9293
GA070045,관악구,935.1000683,참,37.4782,126.9518
YC170098,양천구,934.9346449,참,37.5171,126.8663
YC150004,양천구,934.1094407,참,37.5171,126.8663
WF160020,마포구,933.5417966,참,37.566571,126.9015317
WF181322,서초구,931.0426534,참,37.4835,127.0322
WF171314,성북구,930.3947225,참,37.59,127.0165
GS150011,강서구,929.0683919,참,37.5509,126.8497
WF170008,중구,927.2748344,참,37.5636559,126.9975097
NW160019,노원구,926.2743509,참,37.654,127.0567
GB110026,강북구,925.5383568,참,37.6395,127.0255
WN000660,도봉구,925.3246343,참,37.6686,127.0466
WF110021,마포구,924.9270417,참,37.566571,126.9015317
SD000011,성동구,923.3884196,참,37.5635,127.0365
WF120403,중구,921.233429,참,37.5636559,126.9975097
EP000023,은평구,919.2731539,참,37.6024,126.9293
SDM040005,서대문구,916.3463212,참,37.5790747,126.9367861
GS100014,강서구,916.0724749,참,37.5509,126.8497
JG000002,중구,915.3922459,참,37.5636559,126.9975097
YS000011,용산구,914.4654147,참,37.5323,126.99
GA110002,관악구,913.8678742,참,37.4782,126.9518
DDM000011,동대문구,912.9528962,참,37.5741982,127.0395092
GJ100017,광진구,912.2126338,참,37.5384,127.0828
WF190854,양천구,912.0700601,참,37.5171,126.8663
GA070033,관악구,909.7531464,참,37.4782,126.9518
EP000139,은평구,908.7011822,참,37.6024,126.9293
GB110002,강북구,908.1361484,참,37.6395,127.0255
WF141978,동작구,907.1539492,참,37.5120999,126.9395
YS060001,용산구,906.998778,참,37.5323,126.99
YC170024,양천구,906.2881223,참,37.5171,126.8663
WF200138,서초구,904.5495781,참,37.4835,127.0322
WF110117,중구,902.276228,참,37.5636559,126.9975097
NW160015,노원구,902.1072807,참,37.654,127.0567
WF190373,금천구,901.9309169,참,37.4565,126.8954
WF181094,도봉구,901.7415877,참,37.6686,127.0466
YC160001,양천구,901.4529504,참,37.5171,126.8663
SIGMUL025,강서구,900.3475472,참,37.5509,126.8497
GJ060001,광진구,900.0358536,참,37.5384,127.0828
WF142032,마포구,899.971842,참,37.566571,126.9015317
GA070031,관악구,898.8181612,참,37.4782,126.9518
SD000163,성동구,897.72896,참,37.5635,127.0365
GD130125,강동구,897.3251355,참,37.53,127.1237
WF170045,중구,897.0902177,참,37.5636559,126.9975097
WF160071,마포구,896.2296813,참,37.566571,126.9015317
YC170051,양천구,895.9982122,참,37.5171,126.8663
WF181327,서초구,895.5105907,참,37.4835,127.0322
DDM000042,동대문구,895.1405966,참,37.5741982,127.0395092
WF120410,중구,895.1310243,참,37.5636559,126.9975097
YC170042,양천구,894.4838513,참,37.5171,126.8663
YC120036,양천구,893.7628526,참,37.5171,126.8663
EP000048,은평구,893.5190487,참,37.6024,126.9293
YDP000008,영등포구,892.633639,참,37.5262,126.8959
WF191116,중구,891.3869189,참,37.5636559,126.9975097
NW160016,노원구,891.0705979,참,37.654,127.0567
SC000051,서초구,890.9319094,참,37.4835,127.0322
WN003820,성동구,889.8900866,참,37.5635,127.0365
NW130003,노원구,889.8778091,참,37.654,127.0567
WF205106,중구,888.8422478,참,37.5636559,126.9975097
WN000680,도봉구,888.6145827,참,37.6686,127.0466
WF140030,동대문구,887.0213352,참,37.5741982,127.0395092
GN060036,강남구,883.3523339,참,37.5177,127.0473
WF201626,영등포구,883.1537535,참,37.5262,126.8959
WF132227,용산구,883.0153766,참,37.5323,126.99
WF141263,강북구,882.8128887,참,37.6395,127.0255
WN003858,성동구,882.1969238,참,37.5635,127.0365
YC040006,양천구,881.7964153,참,37.5171,126.8663
GD130047,강동구,881.2328895,참,37.53,127.1237
SC000049,서초구,880.2799421,참,37.4835,127.0322
EP000026,은평구,880.1255264,참,37.6024,126.9293
JG170005,중구,877.6342508,참,37.5636559,126.9975097
WN003851,성동구,877.5751833,참,37.5635,127.0365
SP260059,송파구,877.4489985,참,37.5145,127.1058
WF190144,강서구,877.0245307,참,37.5509,126.8497
WF190393,노원구,876.848544,참,37.654,127.0567
DDM000020,동대문구,876.8472091,참,37.5741982,127.0395092
YC170071,양천구,874.3761395,참,37.5171,126.8663
WF161663,금천구,874.1991784,참,37.4565,126.8954
SC000029,서초구,874.1045312,참,37.4835,127.0322
WF120292,중구,873.8907546,참,37.5636559,126.9975097
SC000071,서초구,873.1435016,참,37.4835,127.0322
YDP000049,영등포구,871.3495735,참,37.5262,126.8959
SIGMUL150,강서구,870.4832196,참,37.5509,126.8497
NW030002,노원구,866.348919,참,37.654,127.0567
GN070006,강남구,866.2995802,참,37.5177,127.0473
SC000037,서초구,865.1344431,참,37.4835,127.0322
SC000068,서초구,864.9797218,참,37.4835,127.0322
WF171302,성북구,864.6860726,참,37.59,127.0165
YC170089,양천구,864.5760839,참,37.5171,126.8663
WF110074,중구,863.6964593,참,37.5636559,126.9975097
GB110005,강북구,863.0085673,참,37.6395,127.0255
EP020020,은평구,862.7553501,참,37.6024,126.9293
WF121165,강서구,862.5448947,참,37.5509,126.8497
YS000021,용산구,860.324833,참,37.5323,126.99
YDP050002,영등포구,860.2240098,참,37.5262,126.8959
NW160001,노원구,860.1232172,참,37.654,127.0567
YC040003,양천구,859.394688,참,37.5171,126.8663
YC170092,양천구,859.3645667,참,37.5171,126.8663
SC000025,서초구,858.8220503,참,37.4835,127.0322
YDP000016,영등포구,858.746742,참,37.5262,126.8959
WF120226,은평구,855.9805661,참,37.6024,126.9293
YC170076,양천구,855.6004289,참,37.5171,126.8663
WF205115,중구,855.316129,참,37.5636559,126.9975097
WF2020109,동대문구,851.9341632,참,37.5741982,127.0395092
SB020034,성북구,851.3289555,참,37.59,127.0165
YC170050,양천구,850.9251892,참,37.5171,126.8663
WF120427,중구,850.8904892,참,37.5636559,126.9975097
WN003877,성동구,849.7918436,참,37.5635,127.0365
GS180117,강서구,849.4539482,참,37.5509,126.8497
SB020044,성북구,849.4231354,참,37.59,127.0165
JG000061,중구,849.1583902,참,37.5636559,126.9975097
YS090001,용산구,848.9158918,참,37.5323,126.99
YC170101,양천구,848.4860258,참,37.5171,126.8663
WF110164,중구,847.888016,참,37.5636559,126.9975097
GS170044,강서구,847.8684675,참,37.5509,126.8497
SB140010,성북구,847.7462258,참,37.59,127.0165
WF171787,금천구,847.6621014,참,37.4565,126.8954
WF171232,성동구,847.0532816,참,37.5635,127.0365
WN003907,성동구,846.6937369,참,37.5635,127.0365
SB020039,성북구,845.9329017,참,37.59,127.0165
YS000015,용산구,845.5518559,참,37.5323,126.99
WF110095,중구,845.5442422,참,37.5636559,126.9975097
YS000047,용산구,845.2204181,참,37.5323,126.99
WF181036,성동구,844.2724268,참,37.5635,127.0365
YS000061,용산구,843.2776229,참,37.5323,126.99
WN000635,도봉구,842.9595298,참,37.6686,127.0466
WF190893,영등포구,842.7265568,참,37.5262,126.8959
WF191108,중구,842.6474462,참,37.5636559,126.9975097
WF190227,광진구,842.2272163,참,37.5384,127.0828
WF190579,동작구,840.3281422,참,37.5120999,126.9395
WF190957,용산구,840.0147609,참,37.5323,126.99
WF142431,용산구,839.4374635,참,37.5323,126.99
WF171799,금천구,838.8502289,참,37.4565,126.8954
WF181272,금천구,838.1610864,참,37.4565,126.8954
WF190450,노원구,838.0286769,참,37.654,127.0567
NW040005,노원구,837.8888993,참,37.654,127.0567
WF191180,중랑구,837.1311268,참,37.6063,127.093
GC060021,금천구,836.8765247,참,37.4565,126.8954
GR050004,구로구,836.0597264,참,37.4951999,126.8877
GA200004,관악구,835.1328209,참,37.4782,126.9518
GS040059,강서구,835.0951005,참,37.5509,126.8497
SD000435,성동구,833.6728594,참,37.5635,127.0365
MP020045,마포구,833.1375738,참,37.566571,126.9015317
WF205102,중구,833.0145635,참,37.5636559,126.9975097
WF171311,성북구,832.9822203,참,37.59,127.0165
WF191217,용산구,832.9592833,참,37.5323,126.99
WF151867,마포구,832.6457194,참,37.566571,126.9015317
YC030006,양천구,831.3578658,참,37.5171,126.8663
SIGMUL026,강서구,830.6066126,참,37.5509,126.8497
GS060012,강서구,830.5447881,참,37.5509,126.8497
DDM000045,동대문구,830.4737017,참,37.5741982,127.0395092
WF120378,중구,829.0070315,참,37.5636559,126.9975097
YC080014,양천구,828.3683584,참,37.5171,126.8663
WF191038,종로구,827.6292998,참,37.5806949,126.9827989
DDM000043,동대문구,826.8811986,참,37.5741982,127.0395092
GR030053,구로구,825.4562103,참,37.4951999,126.8877
WF200054,중구,824.8147502,참,37.5636559,126.9975097
WF161690,금천구,824.6898401,참,37.4565,126.8954
YC050016,양천구,823.6837856,참,37.5171,126.8663
SB090005,성북구,822.819028,참,37.59,127.0165
WF161687,금천구,822.6960574,참,37.4565,126.8954
YC050017,양천구,821.9565863,참,37.5171,126.8663
SC000007,서초구,821.5360857,참,37.4835,127.0322
GN130001,강남구,821.5338077,참,37.5177,127.0473
WF190033,강남구,821.1819834,참,37.5177,127.0473
SD000034,성동구,821.1049708,참,37.5635,127.0365
YC140001,양천구,820.6576158,참,37.5171,126.8663
GS180129,강서구,820.1295141,참,37.5509,126.8497
DDM000004,동대문구,818.7815186,참,37.5741982,127.0395092
GS180109,강서구,818.3989697,참,37.5509,126.8497
YC170011,양천구,818.3431838,참,37.5171,126.8663
WF120421,중구,817.842539,참,37.5636559,126.9975097
GN070082,강남구,817.7787129,참,37.5177,127.0473
YC170068,양천구,817.1456307,참,37.5171,126.8663
YC130007,양천구,816.7789991,참,37.5171,126.8663
GS100041,강서구,816.1487306,참,37.5509,126.8497
YC170021,양천구,814.2630335,참,37.5171,126.8663
DDM000018,동대문구,813.9037035,참,37.5741982,127.0395092
WN000636,도봉구,813.3501891,참,37.6686,127.0466
NW090001,노원구,812.873944,참,37.654,127.0567
EP000113,은평구,811.1631684,참,37.6024,126.9293
WF120064,서초구,810.5482862,참,37.4835,127.0322
YC060002,양천구,809.7593429,참,37.5171,126.8663
SP260028,송파구,808.9545222,참,37.5145,127.1058
GA050002,관악구,808.7059718,참,37.4782,126.9518
GD130076,강동구,808.448118,참,37.53,127.1237
DDM000012,동대문구,808.2904616,참,37.5741982,127.0395092
YC170099,양천구,808.1253748,참,37.5171,126.8663
YC080015,양천구,807.9044212,참,37.5171,126.8663
WF205108,중구,807.8790344,참,37.5636559,126.9975097
GR150016,구로구,807.7740252,참,37.4951999,126.8877
GS040025,강서구,807.0654105,참,37.5509,126.8497
WF110127,중구,806.9960956,참,37.5636559,126.9975097
GB120002,강북구,805.5630149,참,37.6395,127.0255
WF190694,서대문구,805.2854379,참,37.5790747,126.9367861
WF110061,중구,804.2757406,참,37.5636559,126.9975097
SIGMUL029,강서구,804.2075072,참,37.5509,126.8497
WF201256,구로구,803.469818,참,37.4951999,126.8877
WF191170,중랑구,803.0416034,참,37.6063,127.093
WF201060,강동구,802.939628,참,37.53,127.1237
WF140048,은평구,802.6061735,참,37.6024,126.9293
YC130001,양천구,801.6392783,참,37.5171,126.8663
GA160003,관악구,801.4489598,참,37.4782,126.9518
GA070050,관악구,801.3680047,참,37.4782,126.9518
WF160057,마포구,800.1142528,참,37.566571,126.9015317
YC170067,양천구,799.0656393,참,37.5171,126.8663
NW160060,노원구,798.6443124,참,37.654,127.0567
WF181183,은평구,796.5739452,참,37.6024,126.9293
GB110024,강북구,796.1002459,참,37.6395,127.0255
YS000057,용산구,795.5455381,참,37.5323,126.99
WF200102,중구,795.1997406,참,37.5636559,126.9975097
WF190010,강남구,795.1201317,참,37.5177,127.0473
WF142044,마포구,795.0293295,참,37.566571,126.9015317
GB070006,강북구,794.3784681,참,37.6395,127.0255
GA070005,관악구,794.2508304,참,37.4782,126.9518
SC030001,서초구,794.0395401,참,37.4835,127.0322
GN070066,강남구,793.8727206,참,37.5177,127.0473
GA160002,관악구,792.9699469,참,37.4782,126.9518
GN070009,강남구,792.4321971,참,37.5177,127.0473
YC160011,양천구,791.1796233,참,37.5171,126.8663
DDM000009,동대문구,790.2240585,참,37.5741982,127.0395092
SB160002,성북구,789.8963083,참,37.59,127.0165
YS040010,용산구,789.1652881,참,37.5323,126.99
DDM000036,동대문구,787.5470961,참,37.5741982,127.0395092
SC000038,서초구,785.245933,참,37.4835,127.0322
WF110184,중구,784.7041675,참,37.5636559,126.9975097
YC170001,양천구,784.3668112,참,37.5171,126.8663
JG100001,중구,784.0772589,참,37.5636559,126.9975097
SB020048,성북구,784.0343659,참,37.59,127.0165
GS040036,강서구,783.8963197,참,37.5509,126.8497
WF181326,서초구,783.7389237,참,37.4835,127.0322
GN070060,강남구,782.9574097,참,37.5177,127.0473
WF205126,중구,782.572871,참,37.5636559,126.9975097
GJ100039,광진구,781.8335038,참,37.5384,127.0828
WF201086,강동구,781.7904324,참,37.53,127.1237
NW160063,노원구,781.1632073,참,37.654,127.0567
WN003856,성동구,781.148295,참,37.5635,127.0365
DB040012,도봉구,780.8196049,참,37.6686,127.0466
DDM000019,동대문구,779.4551842,참,37.5741982,127.0395092
YC170062,양천구,778.6125129,참,37.5171,126.8663
NW140001,노원구,778.607276,참,37.654,127.0567
YC170104,양천구,778.5520583,참,37.5171,126.8663
WF200079,중구,778.1903676,참,37.5636559,126.9975097
NW010016,노원구,777.5617304,참,37.654,127.0567
GA130004,관악구,777.4255764,참,37.4782,126.9518
GD130024,강동구,777.3967833,참,37.53,127.1237
YC070008,양천구,777.2728232,참,37.5171,126.8663
DB030010,도봉구,777.1825855,참,37.6686,127.0466
GB020001,강북구,777.0018324,참,37.6395,127.0255
WN003817,성동구,776.987544,참,37.5635,127.0365
YC170041,양천구,776.9143452,참,37.5171,126.8663
YC010001,양천구,776.7787175,참,37.5171,126.8663
YC130003,양천구,776.6328456,참,37.5171,126.8663
WF201931,동대문구,776.3370615,참,37.5741982,127.0395092
YS000043,용산구,775.9830931,참,37.5323,126.99
WF110054,중구,775.8709287,참,37.5636559,126.9975097
WF120220,은평구,775.3188266,참,37.6024,126.9293
YDP140001,영등포구,775.1532692,참,37.5262,126.8959
WF205109,중구,774.8302614,참,37.5636559,126.9975097
SB020016,성북구,774.5059019,참,37.59,127.0165
YC170063,양천구,773.6364544,참,37.5171,126.8663
SB020032,성북구,773.22136,참,37.59,127.0165
GS140032,강서구,772.8808149,참,37.5509,126.8497
YC170097,양천구,772.7583336,참,37.5171,126.8663
SD000061,성동구,772.6561985,참,37.5635,127.0365
YC120009,양천구,771.7104908,참,37.5171,126.8663
WF2020105,동대문구,771.6826024,참,37.5741982,127.0395092
WF160013,마포구,771.2578366,참,37.566571,126.9015317
WN003876,성동구,771.1310054,참,37.5635,127.0365
